,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
10,Research Engineer,-1,"With one application you can be considered for thousands of tech roles from leading companies on Seen.

Seen by Indeed is a free service that connects you to opportunities that take you further in your career.
Join today to be seen and make your mark in your next tech role.
With just one application, we'll show you off to hundreds of employers once your profile is approved.
Seen matches you to opportunities based off where you've been and where you want to go in your career.
Talk to career coaches for free to help you set your best foot forward whether it be during the interview process or during a promotion.

By creating an account, you agree to Indeed's Terms of Service, Cookie Policy and Privacy Policy.",-1,"Dataminr
3.8","New York, NY","San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
11,Machine Learning Engineer,-1,"With one application you can be considered for thousands of tech roles from leading companies on Seen.

Seen by Indeed is a free service that connects you to opportunities that take you further in your career.
Join today to be seen and make your mark in your next tech role.
With just one application, we'll show you off to hundreds of employers once your profile is approved.
Seen matches you to opportunities based off where you've been and where you want to go in your career.
Talk to career coaches for free to help you set your best foot forward whether it be during the interview process or during a promotion.

By creating an account, you agree to Indeed's Terms of Service, Cookie Policy and Privacy Policy.",-1,"Triplebyte
3.6","New York, NY","San Francisco, CA",1 to 50 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
12,Senior Data Scientist,-1,"ABOUT HOPPER

At Hopper, we’re on a mission to make booking travel faster, easier, and more transparent. We are leveraging the power that comes from combining massive amounts of data and machine learning to build the world’s fastest-growing travel app -- one that enables our customers to save money and travel more. With over $235M CAD in funding from leading investors in both Canada and the US, Hopper is primed to continue its path toward becoming the go-to way to book travel as the world continues its shift to mobile.

Recognized as the fastest-growing travel app by Forbes and one of the world’s most innovative companies by Fast Company two years in a row, Hopper has been downloaded over 40 million times and has helped travelers plan over 100 million trips and counting. The app has received high praise in the form of mobile accolades such as the Webby Award for Best Travel App of 2019, the Google Play Award for Standout Startup of 2016 and Apple’s App Store Best of 2015.

Take off with us!

THE ROLE

Hopper is looking for a data-savvy individual to join our team as a Data Scientist and lead data-centric product development and complex business intelligence projects within our core air travel business unit. Every day you would draw powerful insights from our real-time feed of billions of flight search results and archives of several trillion data points. To succeed at Hopper you need the talent, passion, and experience to thrive in a highly performing company.
IN THIS ROLE YOU WILL:
Frame and conduct complex exploratory analyses needed to deepen our understanding of Hopper users.
Partner with product, business and strategy teams to leverage this user understanding for product improvements and other initiatives
Use machine learning and big data tools on tremendously large and complex data sets to enhance our data-driven, personalized travel advice
Conduct research into various aspects of our business and employ statistical and modeling techniques when appropriate to make recommendations to non-technical stakeholders
Create advanced dashboards for product experiment tracking and business unit performance analysis using Amplitude and Tableau
Find effective ways to simplify and communicate analyses to a non-technical audience.
A PERFECT CANDIDATE HAS:
A degree in Math, Statistics, Computer Science, Engineering or other quantitative disciplines
Extremely strong analytical and problem-solving skills
Proven ability to communicate complex technical work to a non-technical audience
A strong passion for and extensive experience in conducting empirical research and answering hard questions with data
Experience with a data visualization tool (Tableau preferred) and project analysis tool such as Amplitude
Experience with relational databases and SQL, especially Hive
Experience working with extremely large data sets
Experience in Pandas, R, SAS or other tools appropriate for large scale data preparation and analysis
Experience with data mining, machine learning, statistical modeling tools and underlying algorithms
Proficiency with Unix/Linux environments
BENEFITS

• Well-funded and proven startup with large ambitions, competitive salary and stock options
• Dynamic and entrepreneurial team where pushing limits is everyday business
• 100% employer paid medical, dental, vision, disability and life insurance plans
• Access to a 401k (US) or Retirement Savings Plan (Canada)
• Easy commute with a paid-for public transportation or parking pass
• Fully stocked kitchen with: coffee/tea, beer, bagels and snacks (both healthy and not-healthy)
• Team lunches, offsite activities and much more!",-1,"Spoke (CA)
5.0","New York, NY","Montreal, Canada",501 to 1000 employees,2007,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,-1
13,"Software Engineer, Machine Learning - Search and Recs",-1,"Company Description

As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.

Job Description

About the Team

Our teams are responsible for search ranking and recommendations. Our aim is to present the best of Etsy's inventory. As an engineer on our team, you will play a major role in improving the shopping experience for millions of Etsy buyers. We're a cross-functional group of engineers, data scientists, product managers, designers, and researchers.

With your help, we are giving our buyers better tools to find what they are looking for and to help them form a connection with our sellers. In this role, you will put your skills to use by helping us improve the ranking and suggestions of localized results through machine learning algorithms. You will also create workflows and pipelines to effectively transform data into appropriate results for our buyers. You will join a talented team of engineers to collaborate on all of these projects.

In this role, you will have the opportunity to work with our Data Science and ML team, Data Platform team and many more product squads. We're a growing team with a huge impact that builds tools and platform capabilities for data scientists and ML engineers to access feature data, build machine learning models, test hypotheses and productionize them on our ML platform hosted in Google Cloud. We value empathy, communication and technical skills equally. Here's a taste of the problems we're solving:
How can we help someone find that perfect item, even when they don't know what they're looking for?
How do we rank millions of search results in a matter of milliseconds, so that we're always surfacing the best of Etsy?
How can we maximize the relevance of search results over an enormous range of queries and buyers?
How can the search experience make Etsy come to life and feel as vibrant as the community of makers that's behind it?
How can we understand buyer's motives and interests to personalize their experience?
How can we help buyers to explore the breadth of Etsy's inventory?
Our production systems rely on PHP, JavaScript, Java, Python and Scala; we are proud to have an engineering culture that encourages career growth and learning. You can learn more about our philosophies, tools, and some of the challenges we've been solving on our Engineering blog: http://codeascraft.com/

We are language-agnostic in our approach to interviewing.

This role is located in our Brooklyn HQ.

Qualifications
Experience with objective-oriented programming languages: Python, Java, Scala, etc.
Familiarity with machine learning and deep learning solutions across the entire machine learning stack, from data collection to evaluation
Experience with machine learning frameworks (like PySpark, Scalding, etc.)
Strong verbal and written communication skills.
About the Role

In this role you will:
Contribute at all levels of Etsy's search and recommendations stacks, ranging from application back-end technologies (PHP, Java, Python, MySQL, Scala, Vertica) as well as machine learning stack (PySpark, Scalding, Airflow).
Work cross-functionally with various engineering teams (e.g. machine learning infrastructure, data science, search experience), participating in design, prioritization and implementation.
Develop and train machine learning data sources and models, both to iterate on existing features and develop new features.
Use feature engineering tools and principles to clean and transform data into signals driving listing quality
Deploy models to production, sometimes including application development for your feature.
Provide detailed and constructive design and code reviews.
Empathy, communication, and technical skill are valued equally.
About You

You will do well in this role if you:
Enjoy thinking about the implications of your work on end users.
You are comfortable collaborating with Product Managers, Data Analysts, and Designers to ensure that you're delivering impactful product features.
Have experience operating within a large codebase and working to create simplicity from complex systems, including using experiments and data to drive decision making.
Are an analytical thinker and understand how to wield data to make informed decisions about your work.
Write understandable, testable code with an eye towards maintainability.
You turn ideas into deeply reliable and well tested code that other people - or you, six months into the future - will find easy to comprehend and modify.
You have worked with machine learning and understand the needs of data scientists and ML engineers.
You have solid engineering and coding skills, data structure knowledge and ability to write high performance production quality code.
Additional Information

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets.",-1,"Etsy
3.9","Brooklyn, NY","Brooklyn, NY",501 to 1000 employees,2005,Company - Public,Other Retail Shops,Retail,₹10 to ₹50 billion (INR),"Airbnb, Warby Parker, Kickstarter"
14,"Software Engineer, Machine Learning - Search and Recs",-1,"Company Description

As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.

Job Description

About the Team

Our teams are responsible for search ranking and recommendations. Our aim is to present the best of Etsy's inventory. As an engineer on our team, you will play a major role in improving the shopping experience for millions of Etsy buyers. We're a cross-functional group of engineers, data scientists, product managers, designers, and researchers.

With your help, we are giving our buyers better tools to find what they are looking for and to help them form a connection with our sellers. In this role, you will put your skills to use by helping us improve the ranking and suggestions of localized results through machine learning algorithms. You will also create workflows and pipelines to effectively transform data into appropriate results for our buyers. You will join a talented team of engineers to collaborate on all of these projects.

In this role, you will have the opportunity to work with our Data Science and ML team, Data Platform team and many more product squads. We're a growing team with a huge impact that builds tools and platform capabilities for data scientists and ML engineers to access feature data, build machine learning models, test hypotheses and productionize them on our ML platform hosted in Google Cloud. We value empathy, communication and technical skills equally. Here's a taste of the problems we're solving:
How can we help someone find that perfect item, even when they don't know what they're looking for?
How do we rank millions of search results in a matter of milliseconds, so that we're always surfacing the best of Etsy?
How can we maximize the relevance of search results over an enormous range of queries and buyers?
How can the search experience make Etsy come to life and feel as vibrant as the community of makers that's behind it?
How can we understand buyer's motives and interests to personalize their experience?
How can we help buyers to explore the breadth of Etsy's inventory?
Our production systems rely on PHP, JavaScript, Java, Python and Scala; we are proud to have an engineering culture that encourages career growth and learning. You can learn more about our philosophies, tools, and some of the challenges we've been solving on our Engineering blog: http://codeascraft.com/

We are language-agnostic in our approach to interviewing.

This role is located in our Brooklyn HQ.

Qualifications
Experience with objective-oriented programming languages: Python, Java, Scala, etc.
Familiarity with machine learning and deep learning solutions across the entire machine learning stack, from data collection to evaluation
Experience with machine learning frameworks (like PySpark, Scalding, etc.)
Strong verbal and written communication skills.
About the Role

In this role you will:
Contribute at all levels of Etsy's search and recommendations stacks, ranging from application back-end technologies (PHP, Java, Python, MySQL, Scala, Vertica) as well as machine learning stack (PySpark, Scalding, Airflow).
Work cross-functionally with various engineering teams (e.g. machine learning infrastructure, data science, search experience), participating in design, prioritization and implementation.
Develop and train machine learning data sources and models, both to iterate on existing features and develop new features.
Use feature engineering tools and principles to clean and transform data into signals driving listing quality
Deploy models to production, sometimes including application development for your feature.
Provide detailed and constructive design and code reviews.
Empathy, communication, and technical skill are valued equally.
About You

You will do well in this role if you:
Enjoy thinking about the implications of your work on end users.
You are comfortable collaborating with Product Managers, Data Analysts, and Designers to ensure that you're delivering impactful product features.
Have experience operating within a large codebase and working to create simplicity from complex systems, including using experiments and data to drive decision making.
Are an analytical thinker and understand how to wield data to make informed decisions about your work.
Write understandable, testable code with an eye towards maintainability.
You turn ideas into deeply reliable and well tested code that other people - or you, six months into the future - will find easy to comprehend and modify.
You have worked with machine learning and understand the needs of data scientists and ML engineers.
You have solid engineering and coding skills, data structure knowledge and ability to write high performance production quality code.
Additional Information

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets.",-1,"Etsy
3.9","Brooklyn, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
15,Staff Machine Learning Engineer,-1,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we're behind some of Spotify's most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you'll keep millions of users listening by making great recommendations to each and every one of them.

What you will learn and do
Deliver core machine learning contributions to optimize user satisfaction with personalized content in playlists, radio, and other listening experiences.
Work closely with Product, User Research, Data Scientists, and other engineers in a 50-person organization to develop machine learning approaches that advance our mission to connect fans and artists.
Prototype new approaches and productionize solutions at scale for our hundreds of millions of active users; provide mentorship to machine learning engineers across the org to further these efforts.
As part of the leadership team of a 50-person org, develop and help execute our long-term strategy and roadmap.
Be accountable for algorithmic fairness and responsibility of playlist content recommendations systems.
Identify opportunities for platformization and communicate requirements to platform teams.
Who you are
You have a strong background in building content recommendation products with machine learning, especially systems that have served 1M+ users. You have 6+ years of machine learning experience, 3+ years in an industry setting.
You're passionate about improving the experience of music listeners with personalization.
You have hands-on experience implementing production machine learning content recommendations systems at scale in Java, Scala, Python, or similar languages. Experience with XGBoost, TensorFlow is also a plus.
You have experience with data pipeline tools like Apache Beam or even our open source API for it, Scio, and cloud platforms like GCP or AWS.
You care about agile software processes, data-driven development, reliability, and disciplined experimentation.
You keep up with state of the art research by reading papers, attending conferences, and participating in research communities.
Nice to have
Multimedia (audio, image, and/or video) recs experience
Strong passion for music
Published in top-tier machine learning conferences / journals
You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what's playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be brilliant. So bring us your personal experience, your perspectives, and your background. It's in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world's most popular audio streaming subscription service with a community of more than 286 million users.",-1,"Jane Street
4.8","New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
16,Staff Machine Learning Engineer,-1,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we're behind some of Spotify's most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you'll keep millions of users listening by making great recommendations to each and every one of them.

What you will learn and do
Deliver core machine learning contributions to optimize user satisfaction with personalized content in playlists, radio, and other listening experiences.
Work closely with Product, User Research, Data Scientists, and other engineers in a 50-person organization to develop machine learning approaches that advance our mission to connect fans and artists.
Prototype new approaches and productionize solutions at scale for our hundreds of millions of active users; provide mentorship to machine learning engineers across the org to further these efforts.
As part of the leadership team of a 50-person org, develop and help execute our long-term strategy and roadmap.
Be accountable for algorithmic fairness and responsibility of playlist content recommendations systems.
Identify opportunities for platformization and communicate requirements to platform teams.
Who you are
You have a strong background in building content recommendation products with machine learning, especially systems that have served 1M+ users. You have 6+ years of machine learning experience, 3+ years in an industry setting.
You're passionate about improving the experience of music listeners with personalization.
You have hands-on experience implementing production machine learning content recommendations systems at scale in Java, Scala, Python, or similar languages. Experience with XGBoost, TensorFlow is also a plus.
You have experience with data pipeline tools like Apache Beam or even our open source API for it, Scio, and cloud platforms like GCP or AWS.
You care about agile software processes, data-driven development, reliability, and disciplined experimentation.
You keep up with state of the art research by reading papers, attending conferences, and participating in research communities.
Nice to have
Multimedia (audio, image, and/or video) recs experience
Strong passion for music
Published in top-tier machine learning conferences / journals
You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what's playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be brilliant. So bring us your personal experience, your perspectives, and your background. It's in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world's most popular audio streaming subscription service with a community of more than 286 million users.",-1,"Spotify
3.7","New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
17,Staff Machine Learning Engineer,-1,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we're behind some of Spotify's most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you'll keep millions of users listening by making great recommendations to each and every one of them.

What you will learn and do
Deliver core machine learning contributions to optimize user satisfaction with personalized content in playlists, radio, and other listening experiences.
Work closely with Product, User Research, Data Scientists, and other engineers in a 50-person organization to develop machine learning approaches that advance our mission to connect fans and artists.
Prototype new approaches and productionize solutions at scale for our hundreds of millions of active users; provide mentorship to machine learning engineers across the org to further these efforts.
As part of the leadership team of a 50-person org, develop and help execute our long-term strategy and roadmap.
Be accountable for algorithmic fairness and responsibility of playlist content recommendations systems.
Identify opportunities for platformization and communicate requirements to platform teams.
Who you are
You have a strong background in building content recommendation products with machine learning, especially systems that have served 1M+ users. You have 6+ years of machine learning experience, 3+ years in an industry setting.
You're passionate about improving the experience of music listeners with personalization.
You have hands-on experience implementing production machine learning content recommendations systems at scale in Java, Scala, Python, or similar languages. Experience with XGBoost, TensorFlow is also a plus.
You have experience with data pipeline tools like Apache Beam or even our open source API for it, Scio, and cloud platforms like GCP or AWS.
You care about agile software processes, data-driven development, reliability, and disciplined experimentation.
You keep up with state of the art research by reading papers, attending conferences, and participating in research communities.
Nice to have
Multimedia (audio, image, and/or video) recs experience
Strong passion for music
Published in top-tier machine learning conferences / journals
You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what's playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be brilliant. So bring us your personal experience, your perspectives, and your background. It's in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world's most popular audio streaming subscription service with a community of more than 286 million users.",-1,"Point72
3.9","New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart"
18,Machine Learning Engineer,-1,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we're behind some of Spotify's most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you'll keep millions of users listening by making great recommendations to each and every one of them.

What you will learn and do
Deliver core machine learning contributions to optimize user satisfaction with personalized content in playlists, radio, and other listening experiences.
Work closely with Product, User Research, Data Scientists, and other engineers in a 50-person organization to develop machine learning approaches that advance our mission to connect fans and artists.
Prototype new approaches and productionize solutions at scale for our hundreds of millions of active users; provide mentorship to machine learning engineers across the org to further these efforts.
As part of the leadership team of a 50-person org, develop and help execute our long-term strategy and roadmap.
Be accountable for algorithmic fairness and responsibility of playlist content recommendations systems.
Identify opportunities for platformization and communicate requirements to platform teams.
Who you are
You have a strong background in building content recommendation products with machine learning, especially systems that have served 1M+ users. You have 6+ years of machine learning experience, 3+ years in an industry setting.
You're passionate about improving the experience of music listeners with personalization.
You have hands-on experience implementing production machine learning content recommendations systems at scale in Java, Scala, Python, or similar languages. Experience with XGBoost, TensorFlow is also a plus.
You have experience with data pipeline tools like Apache Beam or even our open source API for it, Scio, and cloud platforms like GCP or AWS.
You care about agile software processes, data-driven development, reliability, and disciplined experimentation.
You keep up with state of the art research by reading papers, attending conferences, and participating in research communities.
Nice to have
Multimedia (audio, image, and/or video) recs experience
Strong passion for music
Published in top-tier machine learning conferences / journals
You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what's playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be brilliant. So bring us your personal experience, your perspectives, and your background. It's in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world's most popular audio streaming subscription service with a community of more than 286 million users.",-1,"Amazon
3.9","New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
19,Machine Learning Engineer - Personalization,-1,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we're behind some of Spotify's most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you'll keep millions of users listening by making great recommendations to each and every one of them.

What you will learn and do
Deliver core machine learning contributions to optimize user satisfaction with personalized content in playlists, radio, and other listening experiences.
Work closely with Product, User Research, Data Scientists, and other engineers in a 50-person organization to develop machine learning approaches that advance our mission to connect fans and artists.
Prototype new approaches and productionize solutions at scale for our hundreds of millions of active users; provide mentorship to machine learning engineers across the org to further these efforts.
As part of the leadership team of a 50-person org, develop and help execute our long-term strategy and roadmap.
Be accountable for algorithmic fairness and responsibility of playlist content recommendations systems.
Identify opportunities for platformization and communicate requirements to platform teams.
Who you are
You have a strong background in building content recommendation products with machine learning, especially systems that have served 1M+ users. You have 6+ years of machine learning experience, 3+ years in an industry setting.
You're passionate about improving the experience of music listeners with personalization.
You have hands-on experience implementing production machine learning content recommendations systems at scale in Java, Scala, Python, or similar languages. Experience with XGBoost, TensorFlow is also a plus.
You have experience with data pipeline tools like Apache Beam or even our open source API for it, Scio, and cloud platforms like GCP or AWS.
You care about agile software processes, data-driven development, reliability, and disciplined experimentation.
You keep up with state of the art research by reading papers, attending conferences, and participating in research communities.
Nice to have
Multimedia (audio, image, and/or video) recs experience
Strong passion for music
Published in top-tier machine learning conferences / journals
You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what's playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be brilliant. So bring us your personal experience, your perspectives, and your background. It's in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world's most popular audio streaming subscription service with a community of more than 286 million users.",-1,"Spotify
3.7","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
20,Machine Learning Engineer,-1,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we're behind some of Spotify's most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you'll keep millions of users listening by making great recommendations to each and every one of them.

What you will learn and do
Deliver core machine learning contributions to optimize user satisfaction with personalized content in playlists, radio, and other listening experiences.
Work closely with Product, User Research, Data Scientists, and other engineers in a 50-person organization to develop machine learning approaches that advance our mission to connect fans and artists.
Prototype new approaches and productionize solutions at scale for our hundreds of millions of active users; provide mentorship to machine learning engineers across the org to further these efforts.
As part of the leadership team of a 50-person org, develop and help execute our long-term strategy and roadmap.
Be accountable for algorithmic fairness and responsibility of playlist content recommendations systems.
Identify opportunities for platformization and communicate requirements to platform teams.
Who you are
You have a strong background in building content recommendation products with machine learning, especially systems that have served 1M+ users. You have 6+ years of machine learning experience, 3+ years in an industry setting.
You're passionate about improving the experience of music listeners with personalization.
You have hands-on experience implementing production machine learning content recommendations systems at scale in Java, Scala, Python, or similar languages. Experience with XGBoost, TensorFlow is also a plus.
You have experience with data pipeline tools like Apache Beam or even our open source API for it, Scio, and cloud platforms like GCP or AWS.
You care about agile software processes, data-driven development, reliability, and disciplined experimentation.
You keep up with state of the art research by reading papers, attending conferences, and participating in research communities.
Nice to have
Multimedia (audio, image, and/or video) recs experience
Strong passion for music
Published in top-tier machine learning conferences / journals
You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what's playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be brilliant. So bring us your personal experience, your perspectives, and your background. It's in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world's most popular audio streaming subscription service with a community of more than 286 million users.",-1,"Temboo
3.9","New York, NY","Charlotte, NC",10000+ employees,1904,Company - Public,Banks & Building Societies,Finance,₹500+ billion (INR),-1
21,Machine Learning Engineer,-1,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we're behind some of Spotify's most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you'll keep millions of users listening by making great recommendations to each and every one of them.

What you will learn and do
Deliver core machine learning contributions to optimize user satisfaction with personalized content in playlists, radio, and other listening experiences.
Work closely with Product, User Research, Data Scientists, and other engineers in a 50-person organization to develop machine learning approaches that advance our mission to connect fans and artists.
Prototype new approaches and productionize solutions at scale for our hundreds of millions of active users; provide mentorship to machine learning engineers across the org to further these efforts.
As part of the leadership team of a 50-person org, develop and help execute our long-term strategy and roadmap.
Be accountable for algorithmic fairness and responsibility of playlist content recommendations systems.
Identify opportunities for platformization and communicate requirements to platform teams.
Who you are
You have a strong background in building content recommendation products with machine learning, especially systems that have served 1M+ users. You have 6+ years of machine learning experience, 3+ years in an industry setting.
You're passionate about improving the experience of music listeners with personalization.
You have hands-on experience implementing production machine learning content recommendations systems at scale in Java, Scala, Python, or similar languages. Experience with XGBoost, TensorFlow is also a plus.
You have experience with data pipeline tools like Apache Beam or even our open source API for it, Scio, and cloud platforms like GCP or AWS.
You care about agile software processes, data-driven development, reliability, and disciplined experimentation.
You keep up with state of the art research by reading papers, attending conferences, and participating in research communities.
Nice to have
Multimedia (audio, image, and/or video) recs experience
Strong passion for music
Published in top-tier machine learning conferences / journals
You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what's playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be brilliant. So bring us your personal experience, your perspectives, and your background. It's in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world's most popular audio streaming subscription service with a community of more than 286 million users.",-1,"Bank of America
3.7","New York, NY","Menlo Park, CA",10000+ employees,2004,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Apple"
